台灣,#genre#
TVBS亞洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8
TVBS亞洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
TVBS亞洲,http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8
TVBS亞洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8
台視新聞 HD,http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8
台視新聞 HD,http://38.64.72.148/hls/modn/list/4013/chunklist1.m3u8
台視新聞 HD,http://38.64.72.148/hls/modn/list/4013/playlist.m3u8
台視新聞 HD,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
台視新聞 HD,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
台視新聞,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8?blog.ntnas.top
東森新聞美洲,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
東森美洲,http://38.64.72.148:80/hls/modn/list/2015/chunklist1.m3u8
東森超視34.5,http://38.64.72.148:80/hls/modn/list/2013/chunklist1.m3u8
民視 HD,http://220.134.196.147:9574/ch49.m3u8
民視新聞 HD,http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8
民視新聞 HD,http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8
民視新聞 HD,http://38.64.72.148/hls/modn/list/4012/playlist.m3u8
民視新聞 HD,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
民視新聞 HD,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
民視新聞臺,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8?blog.ntnas.top
番薯臺,http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8


歐美,#genre#
ABC NEWS LIVE,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV24.m3u8
Bloomberg News Asia,https://www.bloomberg.com/media-manifest/streams/asia.m3u8
Bloomberg TV Asia Live Event,https://www.bloomberg.com/media-manifest/streams/asia-event.m3u8
CNA亞洲新聞 International,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index.m3u8
CNA亞洲新聞 Singapore,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
CNA亞洲新聞,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
CNA亞洲新聞,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
CNA亞洲新聞,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
CNN,https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_0_3564000.m3u8
DW 德國之聲,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV08.m3u8
Euro Indie Music Chart TV,http://178.33.224.197:1935/euroindiemusic/euroindiemusic/playlist.m3u8
FOX NEWS,http://fox-foxnewsnow-samsungus.amagi.tv/playlist.m3u8
FOX新聞,https://fox-foxnewsnow-samsungus.amagi.tv/playlist720p.m3u8
France 24,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV38.m3u8
GB News UK,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV33.m3u8
INDIA TODAY,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV36.m3u8
NBC NEWS,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV39.m3u8
NEWS18,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV40.m3u8
Red Bull TV HD,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_6660.m3u8
Red Bull TV HD,https://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_1660.m3u8
Red Bull TV HD,https://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_3360.m3u8
Red Bull TV HD,https://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_3360.m3u8?denmstv.m3u8
Red Bull TV HD,https://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_6660.m3u8
紅牛RedBull,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_1660.m3u8
紅牛RedBull,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_928.m3u8
Retro,http://stream.mediawork.cz/retrotv/retrotvHQ1/playlist.m3u8
半島電視台,http://live-hls-web-aja.getaj.net/AJA/02.m3u8
亞洲新聞,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8?zshijd

其他,#genre#
KCTV,http://119.77.96.184:1935/chn05/chn05/chunklist_w1306745753.m3u8
Nature,http://185.57.68.33:8091/232/tracks-v1a1/index.m3u8
QVC Japan,https://cdn-live1.qvc.jp/iPhone/1501/1501.m3u8
Radio,http://wms.shared.streamshow.it:80/canale51/canale51/playlist.m3u8
Salto Brasa Music,https://salto-streams.nl/hls/sotv1_high.m3u8
V2BEAT Music,http://de1se01.v2beat.live/chunks.m3u8
V2BEAT,http://de1se01.v2beat.live/playlist.m3u8
中國村莊,http://newcntv.qcloudcdn.com/asp/hls/4000/0303000a/3/default/93fc12dbf14241c18c23da104fbade23/4000.m3u8
地理中國,http://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/c6baf6f74bb944aeacee1065ea72c798/1200.m3u8
地理野生,http://iptv.prosto.tv:7000/ch83/video.m3u8
法國時尚,http://lb.streaming.sk/fashiontv/stream/chunklist.m3u8
法國時尚,http://lb.streaming.sk/fashiontv/stream/chunklist_w1702070444.m3u8
自然傳奇,http://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/81a1ad3a661748bfb8560c92d38204ca/1200.m3u8
航拍中國第二季,http://newcntv.qcloudcdn.com/asp/hls/4000/0303000a/3/default/2bdfdad540b342f592f9817cb7f3b79a/4000.m3u8
飛碟之謎01,https://hls.cntv.lxdns.com/asp/hls/2000/0303000a/3/default/f0a47e155d32450daa1d36a04fd7d262/2000.m3u8
飛碟之謎02,https://newcntv.qcloudcdn.com/asp/hls/2000/0303000a/3/default/d2454bbb542d4613a9db478dab2addfd/2000.m3u8
動漫,#genre#
倒楣熊,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/87f87ba569c147e3805f80e4844d2de9/1200.m3u8
假面騎士,http://epg.112114.xyz/douyu/1218414
動漫輪播-搞笑、校園、奇幻、后宮,http://epg.112114.xyz/douyu/9429545
動漫輪播-童年動漫點播,http://epg.112114.xyz/douyu/7256376
動漫輪播-草帽丶海賊團的直播間,http://epg.112114.xyz/douyu/997925
反轉星球,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/3ccdecc7d6e341c1920ad4eac5d82f38/1200.m3u8
海綿寶寶,http://epg.112114.xyz/douyu/1569773
鐵頭與橘子,http://epg.112114.xyz/douyu/9450942
開心錘錘,http://epg.112114.xyz/douyu/9018297
鬥魚,#genre#
鬥魚影評-史君說劇,http://epg.112114.xyz/douyu/297689
鬥魚影評-宇哥講電影,http://epg.112114.xyz/douyu/8651489
鬥魚影評-小滔講電影,http://epg.112114.xyz/douyu/8415464
鬥魚影評-小黑講電影,http://epg.112114.xyz/douyu/8867878
鬥魚影評-挖溝連,http://epg.112114.xyz/douyu/8413092
鬥魚影評-火龍果說電影,http://epg.112114.xyz/douyu/9559158
鬥魚影評-牛叔-N分鐘看大片,http://epg.112114.xyz/douyu/2758565
鬥魚影評-科幻Fans布瑪,http://epg.112114.xyz/douyu/3508304
鬥魚影評-誰語說電影,http://epg.112114.xyz/douyu/8705754
鬥魚影評-騎毛驢的八戒,http://epg.112114.xyz/douyu/1979257
鬥魚影評01,http://epg.112114.xyz/douyu/4258555
鬥魚影評03,http://epg.112114.xyz/douyu/9527700
鬥魚影評06,http://epg.112114.xyz/douyu/8986636
鬥魚影評07,http://epg.112114.xyz/douyu/9837291
鬥魚影評08,http://epg.112114.xyz/douyu/8014467
鬥魚影評09,http://epg.112114.xyz/douyu/562225
鬥魚紀錄片,http://epg.112114.xyz/douyu/3485629
鬥魚電影-IMAX影廳,http://epg.112114.xyz/douyu/4332
鬥魚電影-冰冰小劇場,http://epg.112114.xyz/douyu/74374
鬥魚電影-午夜故事,http://epg.112114.xyz/douyu/8722254
鬥魚電影-可樂電影,http://epg.112114.xyz/douyu/20415
鬥魚電影-恐怖故事,http://epg.112114.xyz/douyu/2337939
鬥魚電影-林正英 1,http://epg.112114.xyz/douyu/7356023
鬥魚電影-歐美大片,http://epg.112114.xyz/douyu/2793084
鬥魚電影-淩兒影院,http://epg.112114.xyz/douyu/1377142
鬥魚電影-特輯影院,http://epg.112114.xyz/douyu/3637778
鬥魚電影-神樂影片 1,http://epg.112114.xyz/douyu/122402
鬥魚電影-神樂影片 2,http://epg.112114.xyz/douyu/85894
鬥魚電影-粤语電影,http://epg.112114.xyz/douyu/1226741
鬥魚電影-粵語綜藝,http://epg.112114.xyz/douyu/7919720
鬥魚電影-經典神劇,http://epg.112114.xyz/douyu/3700024
鬥魚電影-螞蚱影院,http://epg.112114.xyz/douyu/6079455
鬥魚電影-貝貝影院,http://epg.112114.xyz/douyu/431460
鬥魚電影-邵氏影院,http://epg.112114.xyz/douyu/4246519
鬥魚電影02,http://tc-tct.douyucdn2.cn/dyliveflv1/85894rmovieChow_2000p.flv?wsAuth=f149db0a268e17b462c4032f715fc551&token=cpn-androidmpro-0-85894-a3575d938a4aa30976aaee9c53a07043e9aa8ec98785781a&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play1
鬥魚電影03,http://epg.112114.xyz/douyu/3870925
鬥魚電影05,http://diyp.112114.xyz/douyu/747764
鬥魚電影08,http://epg.112114.xyz/douyu/8475821
鬥魚電影10,http://epg.112114.xyz/douyu/8799435
鬥魚電影11,http://epg.112114.xyz/douyu/7655471
鬥魚電影13,http://epg.112114.xyz/douyu/5067952
鬥魚電影14,http://epg.112114.xyz/douyu/7476264
鬥魚電影15,http://epg.112114.xyz/douyu/8945323
鬥魚電影16,http://diyp.112114.xyz/douyu/2436390
鬥魚音樂,http://epg.112114.xyz/douyu/7537296
鬥魚音樂-秋月剪水,http://epg.112114.xyz/douyu/9588891
鬥魚音樂華語點歌台,http://epg.112114.xyz/douyu/3186217
